Rank_info,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
1,cristiano,92,3300,475800000,8700000,1.39%,6500000,29000000000,Spain
2,kyliejenner,91,6900,366200000,8300000,1.62%,5900000,57400000000,United States
3,leomessi,90,890,357300000,6800000,1.24%,4400000,6000000000,
4,selenagomez,93,1800,342700000,6200000,0.97%,3300000,11500000000,United States
5,therock,91,6800,334100000,1900000,0.20%,665300,12500000000,United States
6,kimkardashian,91,5600,329200000,3500000,0.88%,2900000,19900000000,United States
7,arianagrande,92,5000,327700000,3700000,1.20%,3900000,18400000000,United States
8,beyonce,92,2000,272800000,3600000,0.76%,2000000,7400000000,United States
9,khloekardashian,89,4100,268300000,2400000,0.35%,926900,9800000000,United States
10,justinbieber,91,7400,254500000,1900000,0.59%,1500000,13900000000,Canada
11,kendalljenner,90,660,254000000,5500000,2.04%,5100000,3700000000,United States
12,natgeo,91,10000,237000000,302200,0.07%,159300,3000000000,United States
13,nike,90,950,234100000,329000,0.08%,181800,313600000,United States
14,taylorswift,91,530,222200000,2400000,1.01%,2300000,1300000000,United States
15,jlo,89,3200,220400000,1700000,0.62%,1400000,5300000000,United States
16,virat.kohli,87,1400,211800000,3500000,0.96%,2000000,4900000000,
17,nickiminaj,90,6400,201600000,2100000,0.53%,1000000,13500000000,United States
18,kourtneykardash,89,4400,195200000,1800000,0.67%,1300000,7700000000,United States
19,mileycyrus,89,1200,181500000,1300000,0.51%,913600,1600000000,
20,neymarjr,90,5300,177100000,2700000,1.09%,1900000,14100000000,Brazil
21,katyperry,92,2000,170300000,715000,0.16%,265100,1500000000,
22,kevinhart4real,88,8200,152000000,522000,0.08%,115200,4300000000,United States
23,zendaya,87,3500,150700000,5800000,3.17%,4800000,20600000000,United States
24,iamcardib,75,1600,140500000,3100000,1.10%,1500000,5000000000,United States
25,ddlovato,88,80,139100000,1100000,0.27%,363400,91300000,United States
26,badgalriri,88,4800,135300000,3700000,0.02%,0,17900000000,United States
27,kingjames,86,2300,130900000,2100000,0.92%,1200000,4900000000,
28,theellenshow,87,10000,125100000,420500,0.07%,81700,4200000000,United States
29,realmadrid,90,6900,123400000,996200,0.48%,588300,6800000000,Spain
30,champagnepapi,85,5200,119600000,1700000,1.10%,1300000,9000000000,Netherlands
31,chrisbrownofficial,86,7300,118500000,463200,0.22%,255900,3400000000,United States
32,fcbarcelona,90,10000,111400000,1200000,0.64%,706300,11600000000,
33,billieeilish,73,690,105200000,8500000,5.02%,5200000,5900000000,
34,dualipa,74,1300,85900000,2100000,1.26%,1100000,2600000000,United Kingdom
35,gal_gadot,85,1700,85600000,1400000,0.69%,586500,2300000000,United States
36,vindiesel,88,1800,82300000,1400000,0.60%,482300,2500000000,United States
37,nasa,88,3600,81300000,1200000,1.53%,1200000,4200000000,United States
38,priyankachopra,85,3600,81100000,1600000,1.00%,802900,5600000000,United States
39,lalalalisa_m,70,870,80900000,5800000,9.00%,7200000,5100000000,
40,Shakira,88,2000,76100000,975100,0.41%,304700,1900000000,
41,snoopdogg,86,10000,75300000,203700,0.17%,125800,2000000000,
42,gigihadid,85,3300,75300000,2500000,2.56%,1900000,8200000000,United States
43,davidbeckham,86,1500,74900000,1200000,0.46%,340900,1900000000,United States
44,shraddhakapoor,81,1900,73900000,1600000,1.17%,859900,3000000000,
45,victoriassecret,88,2900,73200000,147000,0.04%,29800,423500000,United States
46,k.mbappe,86,1200,72700000,2500000,2.16%,1600000,2800000000,
47,nehakakkar,84,2300,70400000,1500000,0.54%,370100,3500000000,India
48,nba,87,12900,70100000,370800,0.28%,196900,4800000000,United States
49,shawnmendes,83,2500,69900000,3500000,2.87%,2000000,8800000000,Canada
50,jennierubyjane,76,860,68900000,5100000,8.36%,5700000,4400000000,
51,narendramodi,85,540,68900000,2900000,3.01%,2000000,1600000000,India
52,aliaabhatt,82,1800,68700000,1800000,3.14%,2100000,3300000000,India
53,deepikapadukone,83,260,68400000,1600000,2.23%,1500000,419000000,India
54,tomholland2013,77,1200,67700000,5400000,10.83%,7300000,6600000000,
55,ronaldinho,78,2900,67700000,872900,0.49%,325700,2600000000,Brazil
56,emmawatson,87,340,67300000,1900000,0.01%,0,639000000,United States
57,bts.bighitofficial,78,1200,66900000,4100000,5.40%,3600000,4900000000,Uruguay
58,katrinakaif,85,1000,66300000,1700000,2.25%,1500000,1700000000,India
59,marvel,82,7000,66200000,332300,0.51%,339000,2300000000,Turkey
60,justintimberlake,87,780,65900000,600400,0.30%,189400,470700000,United States
61,camila_cabello,77,2900,65000000,1900000,2.19%,1400000,5400000000,United States
62,willsmith,82,1400,63900000,1400000,0.02%,0,1900000000,United States
63,raffinagita1717,83,17500,63500000,386900,0.58%,366600,6800000000,Indonesia
64,anitta,82,5100,63100000,855500,0.69%,426200,4400000000,United States
65,sooyaaa__,82,830,62900000,4500000,9.43%,5900000,3800000000,
66,maluma,84,8200,62800000,1200000,1.12%,696300,9800000000,Colombia
67,akshaykumar,85,1900,62800000,1500000,1.01%,624900,2900000000,
68,jacquelinef143,85,2400,62700000,1100000,1.15%,718800,2800000000,India
69,psg,86,10000,61900000,500500,0.52%,322200,5000000000,France
70,roses_are_rosie,82,820,61800000,4600000,9.72%,6000000,3800000000,
71,manchesterunited,85,9900,59600000,381800,0.41%,241600,3800000000,United Kingdom
72,anushkasharma,85,1200,59500000,1900000,2.34%,1400000,2200000000,
73,whinderssonnunes,79,2700,58700000,1600000,0.58%,323100,4400000000,Brazil
74,9gag,86,10000,58100000,672600,0.44%,248600,6700000000,United States
75,marcelotwelve,86,2700,58100000,690900,0.78%,448300,1900000000,Brazil
76,milliebobbybrown,80,280,57600000,4000000,8.63%,5000000,1100000000,United States
77,karimbenzema,42,2000,56900000,878500,1.62%,918900,1800000000,Spain
78,chrishemsworth,86,880,55900000,2800000,3.69%,2100000,2500000000,Australia
79,karolg,83,3300,55600000,3100000,10.25%,5700000,10100000000,India
80,paulpogba,80,1300,55200000,1400000,0.85%,462600,1800000000,France
81,iamzlatanibrahimovic,86,870,55100000,1500000,1.53%,837100,1300000000,
82,leonardodicaprio,86,1700,54600000,395500,0.20%,107600,669300000,
83,juventus,87,10000,54500000,194800,0.25%,135500,1900000000,
84,zacefron,86,660,54500000,2300000,8.18%,4400000,1500000000,United States
85,bellahadid,79,3200,54100000,1100000,2.06%,1100000,3600000000,United Kingdom
86,tatawerneck,86,5600,53900000,959800,0.51%,266500,5400000000,Brazil
87,beingsalmankhan,76,1200,53500000,1400000,1.33%,693900,1600000000,India
88,robertdowneyjr,86,420,53400000,3000000,2.05%,1100000,1300000000,United States
89,sunnyleone,84,4600,53400000,764000,0.57%,301300,3500000000,
90,ladygaga,83,3600,53200000,1400000,1.02%,531600,5100000000,United States
91,dishapatani,74,2100,53000000,1600000,1.85%,971700,3400000000,United States
92,sergioramos,87,2200,52800000,1100000,1.06%,557900,2500000000,
93,jbalvin,87,10000,52800000,878000,0.66%,340500,8800000000,
94,mosalah,22,840,52500000,1800000,2.18%,1100000,1500000000,
95,ayutingting92,85,10000,52400000,147300,0.11%,56300,1500000000,Indonesia
96,433,79,10300,51200000,863200,1.52%,774200,8900000000,Netherlands
97,hudabeauty,82,2400,50800000,186400,0.04%,16800,453600000,United States
98,adele,84,420,50700000,4700000,3.82%,1900000,2000000000,United States
99,michelleobama,85,600,50700000,700500,1.22%,611200,421700000,
100,kritisanon,76,2700,50200000,897200,1.21%,604400,2400000000,India
